Municipio;Latitud;Longitud;Horario;Operador;Gasolina95;Gasolina98;GasoleoA;GasoleoPlus;Bioetanol(%);Ester Metilico(%);Lat_f;Lon_f;dist_km_to_route
Sidamon;41,633333;0,823056;L-D: 24;REPSOL;1.633;0.823;0.75;1.479;0.0;0.0228739872509252;41.633333;0.823056;2.6553501618157656
Bio;41,662472;1,136278;LL -;REPSOL;1.662;1.136;1.469;1.529;0.0;0.0279539972509253;41.662472;1.136278;4.653852703615553
Adm;41,662778;1,133472;L-D: 24;;1.662;1.133;0.695;1.304;0.0;0.0201439972509253;41.662778;1.133472;4.500074047550076
Tornabous;41,697778;1,054889;LOW;;1.697;1.054;1.339;1.369;0.0;0.0129794005250925;41.697778;1.054889;1.0012303277416394
Vila;41,642500;0,894917;LA-;REPSOL;1.642;0.894;1.479;1.539;0.0;0.0182540322509252;41.6425;0.894917;2.234525180850151
Vila;41,643444;0,931306;LA-;;1.643;0.931;1.504;1.6;0.0;0.0227640322509252;41.643444;0.931306;2.776347683903002
Vila;41,650833;0,898806;LA-;;1.65;0.898;1.032;1.475;0.0;0.0173040322509277;41.650833;0.898806;1.6347599332232323
Osorno;42,413694;-4,352722;L-D: 06:00-22:00;REPSOL;2.413;4.352;1.499;1.559;0.0;0.0632051333408344;42.413694;-4.352722;2.6046564825326657
Osorno;42,417000;-4,350750;LOS;;2.417;4.35;0.699;1.369;0.0;0.0475251333408344;42.417;-4.35075;2.235237674112179
Osorno;42,413389;-4,360533;L-D: 24;;2.413;4.36;0.914;0.097;0.0;0.0979251333408344;42.413389;-4.360533;2.510508077567928
Saldaña;42,513028;-4,740361;L-D: 06:30-22:30;;2.513;4.74;0.947;1.489;0.0;0.0150715164340834;42.513028;-4.740361;2.9701650575259895
Saldaña;42,518417;-4,736056;L626;REPSOL;2.518;4.736;1.499;1.589;0.0;0.0629251643408348;42.518417;-4.736056;3.6030251318606514
Viniegra;42,173639;-2,885722;LLE;REPSOL;2.173;2.885;1.469;1.519;0.0;0.0237242042617378;42.173639;-2.885722;3.3555487203204892
Ágreda;41,864194;-1,925111;L;;1.864;1.925;0.911;0.093;0.0;0.0937561624208421;41.864194;-1.925111;4.470025829032059
Ainzón;41,813556;-1,514806;L-D: 24;;1.813;1.514;1.298;0.928;0.0;0.0896578225002506;41.813556;-1.514806;1.7625075892883246
Alfajarín;41,604500;-0,689778;L II;;1.604;0.689;1.179;1.129;0.0;0.014387783350025;41.6045;-0.689778;4.559133367911511
Alfajarín;41,604778;-0,689139;LFA;;1.604;0.689;0.849;1.59;0.0;1.0;41.604778;-0.689139;4.517243504577061
Alfajarín;41,606806;-0,691167;L II;REPSOL;1.606;0.691;1.599;1.509;0.0;0.0197778335002501;41.606806;-0.691167;4.3387674391014475
Alfajarín;41,606417;-0,691639;L-S: 08:00-13:00;REPSOL;1.606;0.691;1.599;1.509;0.0;0.0197678335002504;41.606417;-0.691639;4.390924574657334
Ambel;41,796361;-1,614500;L-1;;1.796;1.614;0.928;0.01;0.0;0.010931784350025;41.796361;-1.6145;3.577898219526498
Borja;41,831639;-1,528278;LLE;;1.831;1.528;1.298;0.928;0.0;0.010930787150025;41.831639;-1.528278;3.152210413912895
Borja;41,832806;-1,516611;LLE;;1.832;1.516;1.29;1.35;0.0;0.011844787150025;41.832806;-1.516611;3.7616202662675513
Farlete;41,681028;-0,506944;LETE-0;;1.681;0.506;1.4;0.99;0.0;0.012415791850025;41.681028;-0.506944;4.578150030425722
Fuendejalón;41,762833;-1,475639;LON-1;REPSOL;1.762;1.475;1.579;1.489;0.0;0.0153479265002505;41.762833;-1.475639;3.612343408240945
Fuendejalón;41,758222;-1,473306;LON-1;;1.758;1.473;1.27;0.915;0.0;0.0899379265002507;41.758222;-1.473306;3.8896851729953785
Magallón;41,830417;-1,463611;LLON-1;;1.83;1.463;1.329;0.939;0.0;0.0975479645002503;41.830417;-1.463611;4.613095864299079
Monegrillo;41,637972;-0,419389;LLO-0;REPSOL;1.637;0.419;1.489;1.245;0.0;0.0153179815002502;41.637972;-0.419389;1.1823311233824896
Pedrola;41,773528;-1,216306;LA-1;;1.773;1.216;1.489;1.162;0.0;0.010158801550025;41.773528;-1.216306;4.743474948626219
Pedrola;41,772806;-1,216889;LA-1;;1.772;1.216;1.489;1.162;0.0;0.010157801550025;41.772806;-1.216889;4.659625681167588
Pedrola;41,735917;-1,207111;LA-1;;1.735;1.207;0.56;1.333;0.0;0.015338801550025;41.735917;-1.207111;1.280178087936856
Pedrola;41,734333;-1,194194;LA-1;;1.734;1.194;0.36;1.515;0.0;0.014259801550025;41.734333;-1.194194;2.2605964601552517
Pedrola;41,743833;-1,191667;LA-1;;1.743;1.191;0.36;1.515;0.0;0.011670801550025;41.743833;-1.191667;2.8255172949978276
Pinseque;41,738306;-1,076389;LOS;REPSOL;1.738;1.076;1.629;1.539;0.0;0.0198280205002502;41.738306;-1.076389;4.732337375431954
Pinseque;41,736028;-1,072611;LEOS;;1.736;1.072;0.6;1.291;0.0;0.0923280205002502;41.736028;-1.072611;4.717070775606315
Pinseque;41,742472;-1,095944;L,;;1.742;1.095;1.339;1.459;0.0;0.012855802050025;41.742472;-1.095944;4.494996696586442
Pozuelo;41,766833;-1,427556;LO;;1.766;1.427;0.875;0.01;0.0;0.010845802750025;41.766833;-1.427556;2.697730546050727
Puebla;41,640639;-0,754694;LA;REPSOL;1.64;0.754;1.645;0.929;0.0;0.0141080305002501;41.640639;-0.754694;1.2816735238005736
Puebla;41,640722;-0,754611;LA;REPSOL;1.64;0.754;1.645;0.929;0.0;0.0140980305002501;41.640722;-0.754611;1.283176861634938
Puebla;41,633611;-0,756556;LA;REPSOL;1.633;0.756;1.609;1.519;0.0;0.010682803050025;41.633611;-0.756556;1.708660112068793
Sobradiel;41,730583;-1,031417;L-1;PETRONOR;1.73;1.031;1.599;1.509;0.0;0.0141580575002506;41.730583;-1.031417;4.913786929974842
Tarazona;41,893972;-1,721278;LOS,;;1.893;1.721;1.529;1.119;0.0;0.0147280615002505;41.893972;-1.721278;4.20954508909396
Tarazona;41,890500;-1,709556;L;;1.89;1.709;0.499;1.349;0.0;0.011557806150025;41.8905;-1.709556;4.072362569275641
Utebo;41,701889;-1,001306;L-D: 06:00-22:00;ALCAMPO;1.701;1.001;1.245;1.36;0.0;0.011348808250025;41.701889;-1.001306;2.9900998450018235
Utebo;41,703694;-1,004139;L 232;CEPSA;1.703;1.004;1.524;1.524;0.0;0.0150080825002501;41.703694;-1.004139;3.2296908304220744
Utebo;41,695694;-0,989639;L-D: 06:00-22:00;REPSOL;1.695;0.989;1.609;1.519;0.0;0.0147480825002501;41.695694;-0.989639;2.3291695895002182
Utebo;41,678639;-0,961806;LLE;REPSOL;1.678;0.961;1.609;1.519;0.0;0.0152280825002501;41.678639;-0.961806;2.6559839346176735
Utebo;41,710833;-1,019611;LLE;;1.71;1.019;0.419;1.245;0.0;0.012983808250025;41.710833;-1.019611;3.6226077332206175
Utebo;41,711694;-0,997639;"L-V: 07:00-21:00;";;1.711;0.997;0.96;0.015;0.0;0.015617808250025;41.711694;-0.997639;4.049975786523294
Utebo;41,677167;-0,957889;L-D: 24;REPSOL;1.677;0.957;1.609;1.519;0.0;0.0152180825002506;41.677167;-0.957889;2.3161825988407303
Zaragoza;41,665417;-0,866639;LA;;1.665;0.866;0.699;1.339;0.0;0.014327810850025;41.665417;-0.866639;2.021355010949851
Zaragoza;41,647444;-0,877444;L-D: 06:00-22:00;REPSOL;1.647;0.877;1.579;1.499;0.0;0.01986810850025;41.647444;-0.877444;0.979321562171132
Zaragoza;41,644972;-0,857667;LOS;REPSOL;1.644;0.857;1.579;1.489;0.0;0.01381810850025;41.644972;-0.857667;0.37167559639053516
Zaragoza;41,648556;-0,868222;L-D: 06:00-22:00;;1.648;0.868;1.458;1.548;0.0;0.01493810850025;41.648556;-0.868222;0.7803515908717152
Zaragoza;41,647083;-0,895194;LAZA;REPSOL;1.647;0.895;1.608;1.508;0.0;0.01979810850025;41.647083;-0.895194;0.5432180443237549
Zaragoza;41,640833;-0,893778;LIAN;REPSOL;1.64;0.893;1.489;1.549;0.0;0.01523810850025;41.640833;-0.893778;0.9702609059640712
Zaragoza;41,625472;-0,888389;L-D: 24;PETRONOR;1.625;0.888;1.589;1.499;0.0;0.01379810850025;41.625472;-0.888389;2.5971568753532477
Zaragoza;41,632583;-0,983889;L;;1.632;0.983;0.419;1.245;0.0;0.013290810850025;41.632583;-0.983889;4.854419832056857
Zaragoza;41,634222;-0,908500;LLE;REPSOL;1.634;0.908;1.579;0.939;0.0;0.01429810850025;41.634222;-0.9085;2.288846382686596
Zaragoza;41,646750;-0,905583;L;Q8;1.646;0.905;1.399;0.081;0.0;0.08183810850025;41.64675;-0.905583;1.3900599063460484
Zaragoza;41,633389;-0,908694;"L-V: 07:00-23:00;";REPSOL;1.633;0.908;1.579;1.489;0.0;0.01430810850025;41.633389;-0.908694;2.366532057342962
Zaragoza;41,660778;-0,927083;L-D: 24;REPSOL;1.66;0.927;1.599;1.509;0.0;0.014697810850025;41.660778;-0.927083;1.0523747339086182
Zaragoza;41,649944;-0,919139;L-D: 24;;1.649;0.919;0.983;1.489;0.0;0.01460810850025;41.649944;-0.919139;2.1301004621416966
Zaragoza;41,659278;-0,918972;LLE;CARREFOUR;1.659;0.918;1.449;1.489;0.0;0.011816810850025;41.659278;-0.918972;1.739686835749138
Zaragoza;41,661222;-0,953611;L-D: 24;;1.661;0.953;0.699;1.349;0.0;0.013482810850025;41.661222;-0.953611;1.1534748359072649
Zaragoza;41,663389;-0,930833;L-D: 24;CEPSA;1.663;0.93;1.24;1.508;0.0;0.01480810850025;41.663389;-0.930833;0.7724813806929995
Zaragoza;41,660139;-0,925194;L-D: 24;REPSOL;1.66;0.925;1.599;0.979;0.0;0.01980810850025;41.660139;-0.925194;1.2149294710313756
Zaragoza;41,644083;-0,936028;L-D: 24;ALCAMPO;1.644;0.936;1.239;1.351;0.0;0.012516810850025;41.644083;-0.936028;1.9456648583269376
Zaragoza;41,634222;-0,923278;L: 07:00-22:00;;1.634;0.923;1.199;0.869;0.0;0.012944810850025;41.634222;-0.923278;3.272504780619322
Zaragoza;41,621972;-0,913139;L-D: 07:00-22:00;;1.621;0.913;0.699;1.349;0.0;0.013122810850025;41.621972;-0.913139;3.593115074419202
Zaragoza;41,621972;-0,913694;L-D: 24;REPSOL;1.621;0.913;1.599;1.509;0.0;0.01454810850025;41.621972;-0.913694;3.618978876950272
Zaragoza;41,647278;-0,935167;LA;REPSOL;1.647;0.935;0.89;1.608;0.0;0.01984810850025;41.647278;-0.935167;1.6111480324718077
Zaragoza;41,626667;-0,922778;"L-V: 06:00-22:00;";REPSOL;1.626;0.922;1.599;1.509;0.0;0.011786810850025;41.626667;-0.922778;3.7295281461847796
Zaragoza;41,633222;-0,860917;L-D: 06:00-22:00;;1.633;0.86;0.699;1.369;0.0;0.013218810850025;41.633222;-0.860917;1.6740509828224297
Zaragoza;41,622972;-0,939389;L;REPSOL;1.622;0.939;1.589;1.499;0.0;0.011275810850025;41.622972;-0.939389;4.268767621129288
Zaragoza;41,634528;-0,861833;L-D: 06:00-22:00;REPSOL;1.634;0.861;1.579;1.499;0.0;0.0137881085002507;41.634528;-0.861833;1.5401115083534782
Zaragoza;41,611111;-0,835000;LLON;SHELL;1.611;0.835;1.11;1.399;0.0;0.011371810850025;41.611111;-0.835;4.088928080619717
Zaragoza;41,623167;-0,845917;L-V: 06:00-22:00;BP;1.623;0.845;1.09;0.859;0.0;0.012002810850025;41.623167;-0.845917;2.9833135801590274
Zaragoza;41,604000;-0,829333;LLON;;1.604;0.829;0.435;1.303;0.0;0.015461810850025;41.604;-0.829333;4.8452722896516125
Zaragoza;41,622861;-0,846444;LLE;BP;1.622;0.846;1.499;1.299;0.0;0.01505810850025;41.622861;-0.846444;2.999758577158976
Zaragoza;41,678917;-0,889917;LLE;CEPSA;1.678;0.889;1.549;1.649;0.0;0.01491810850025;41.678917;-0.889917;3.3470137694587643
Zaragoza;41,677889;-0,890000;L J.;CARREFOUR;1.677;0.89;1.449;1.489;0.0;0.08317810850025;41.677889;-0.89;3.2328853865840785
Zaragoza;41,610250;-0,883000;L-D: 24;;1.61;0.883;1.339;1.389;0.0;0.015376810850025;41.61025;-0.883;4.318835957183972
Zaragoza;41,666222;-0,876944;LAS, 18;GALP;1.666;0.876;1.489;1.539;0.0;0.01988810850025;41.666222;-0.876944;2.181821214485295
Zaragoza;41,662111;-0,887417;L-V: 24;REPSOL;1.662;0.887;1.579;1.489;0.0;0.012120810850025;41.662111;-0.887417;1.4840423936685438
Zaragoza;41,661389;-0,885917;LLE;REPSOL;1.661;0.885;1.579;1.489;0.0;0.01478810850025;41.661389;-0.885917;1.4218481245881787
Zaragoza;41,668694;-0,860556;LUÑA 254-258;;1.668;0.86;0.699;1.339;0.0;0.012882810850025;41.668694;-0.860556;2.2835957748515123
Zaragoza;41,667556;-0,851083;L-D: 24;SHELL;1.667;0.851;1.379;1.459;0.0;0.01267810850025;41.667556;-0.851083;2.2470665419444225
Zaragoza;41,660278;-0,868889;LLE;;1.66;0.868;1.508;1.608;0.0;0.01432810850025;41.660278;-0.868889;1.5815308111583342
Zaragoza;41,667417;-0,859833;LDE;;1.667;0.859;0.75;1.328;0.0;0.013368810850025;41.667417;-0.859833;2.1387423854789094
Zaragoza;41,672528;-0,862111;LDE;;1.672;0.862;0.799;1.468;0.0;0.01495810850025;41.672528;-0.862111;2.719067133179918
Zaragoza;41,670917;-0,861139;LADA;REPSOL;1.67;0.861;1.509;1.599;0.0;0.01398810850025;41.670917;-0.861139;2.5335342552870195
Zaragoza;41,681972;-0,852556;L;;1.681;0.852;0.631;1.359;0.0;0.09034810850025;41.681972;-0.852556;3.791732964017179
Zaragoza;41,682333;-0,853361;L-D: 00:00-23:59;;1.682;0.853;1.531;1.162;0.0;0.01487810850025;41.682333;-0.853361;3.822955838290832
Zaragoza;41,682417;-0,853417;L-D: 24;;1.682;0.853;1.199;1.149;0.0;0.015943810850025;41.682417;-0.853417;3.8316799234926187
Zaragoza;41,681361;-0,780861;"L-V: 05:30-22:00;";REPSOL;1.681;0.78;1.599;1.509;0.0;0.0138381085002501;41.681361;-0.780861;4.037752724316378
Zaragoza;41,658944;-0,807250;L;;1.658;0.807;0.899;1.529;0.0;0.01496810850025;41.658944;-0.80725;1.5251033887218102
Zaragoza;41,656861;-0,782333;L, 7;CEPSA;1.656;0.782;1.539;1.639;0.0;0.01492810850025;41.656861;-0.782333;1.6641707880832954
Zaragoza;41,670278;-0,839722;L-D: 06:00-22:00;;1.67;0.839;0.899;1.529;0.0;0.01477810850025;41.670278;-0.839722;2.6886351801241832
Zaragoza;41,672500;-0,832944;L-D: 24;REPSOL;1.672;0.832;1.629;1.529;0.0;0.09847810850025;41.6725;-0.832944;2.7953542040299735
Zaragoza;41,667167;-0,813833;L-D: 24;;1.667;0.813;0.746;1.343;0.0;0.01417810850025;41.667167;-0.813833;2.5005862049557503
Zaragoza;41,666639;-0,813194;L-D: 24;;1.666;0.813;1.199;1.149;0.0;0.013397810850025;41.666639;-0.813194;2.476611862807608
Zaragoza;41,658417;-0,784583;L II;;1.658;0.784;0.31;1.499;0.0;0.016298810850025;41.658417;-0.784583;1.7137432189296578
Zaragoza;41,651722;-0,795111;LLE;REPSOL;1.651;0.795;1.629;1.529;0.0;0.09844810850025;41.651722;-0.795111;0.5957288439102092
Zaragoza;41,609722;-0,881944;L, 9 -;REPSOL;1.609;0.881;1.599;0.929;0.0;0.012396810850025;41.609722;-0.881944;4.388155601840965
Zaragoza;41,635833;-0,991111;L-D: 07:00-23:00;REPSOL;1.635;0.991;1.645;1.555;0.0;0.011276810850025;41.635833;-0.991111;4.406410461026026
Zaragoza;41,651444;-0,981111;LLOS-0;;1.651;0.981;1.239;1.359;0.0;0.011519810850025;41.651444;-0.981111;2.9259268468482538
Zaragoza;41,663639;-0,983306;LLOS-0;;1.663;0.983;0.799;1.539;0.0;0.0148381085002501;41.663639;-0.983306;1.6703643624872497
Zaragoza;41,695306;-0,990167;LLOS-0;REPSOL;1.695;0.99;1.609;1.519;0.0;0.0147581085002506;41.695306;-0.990167;2.2774496082363194
Zaragoza;41,740389;-1,078944;L;REPSOL;1.74;1.078;1.629;1.539;0.0;0.0827581085002501;41.740389;-1.078944;4.813791674587617
Zaragoza;41,636528;-0,990111;L/;REPSOL;1.636;0.99;1.049;1.645;0.0;0.012289810850025;41.636528;-0.990111;4.3380405884702125
Zaragoza;41,637639;-0,977472;L, 19;;1.637;0.977;1.35;1.432;0.0;0.016078810850025;41.637639;-0.977472;4.097952622423656
Zaragoza;41,638639;-0,992556;LA, 20;;1.638;0.992;0.729;1.279;0.0;0.016258810850025;41.638639;-0.992556;4.085675390636478
Zaragoza;41,637944;-0,986389;LA;;1.637;0.986;1.032;1.473;0.0;0.012472810850025;41.637944;-0.986389;4.22894776208544
Zaragoza;41,638361;-0,987833;LLE;;1.638;0.987;1.199;1.149;0.0;0.015747810850025;41.638361;-0.987833;4.162200237281301
