punto_ev_id,nombre_punto,operador,latitud,longitud,carretera,direccion,tipo_conector,potencia_kw,precio_kwh,disponible_24h
E0229,Ionnity Punto 228,Ionnity,40.18092,-3.91109,A-1,Área A-1 km 330,Type2,53.7,0.345,si
E0230,Wenea Punto 229,Wenea,40.15614,-3.67326,AP-2,Área AP-2 km 575,Type2,55.3,0.428,si
E0231,Iberdrola Punto 230,Iberdrola,40.34878,-3.66483,AP-2,Área AP-2 km 503,CCS2,116.0,0.41,si
E0232,Tesla Punto 231,Tesla,40.39982,-3.8557,A-2,Área A-2 km 542,CCS2,51.7,0.388,si
E0233,Iberdrola Punto 232,Iberdrola,40.20715,-3.80321,A-1,Área A-1 km 22,Type2,151.9,0.488,si
E0234,Iberdrola Punto 233,Iberdrola,40.42779,-3.69817,AP-2,Área AP-2 km 529,Type2,73.8,0.407,si
E0235,Tesla Punto 234,Tesla,40.21155,-3.73223,AP-2,Área AP-2 km 256,CCS2,42.2,0.427,no
E0236,Iberdrola Punto 235,Iberdrola,40.22003,-3.60312,AP-7,Área AP-7 km 514,CCS2,51.9,0.439,si
E0237,Zunder Punto 236,Zunder,40.32396,-3.80226,A-3,Área A-3 km 206,Type2,52.4,0.486,si
E0238,Wenea Punto 237,Wenea,40.26219,-3.69324,A-2,Área A-2 km 417,CCS2,43.9,0.382,si
E0239,Iberdrola Punto 238,Iberdrola,40.23429,-3.57748,AP-2,Área AP-2 km 463,Type2,38.3,0.589,si
E0240,Endesa Punto 239,Endesa,40.4276,-3.8981,AP-7,Área AP-7 km 302,CCS2,119.8,0.438,si
E0241,Wenea Punto 240,Wenea,40.63615,-3.58242,AP-7,Área AP-7 km 311,CCS2,78.8,0.274,si
E0242,Ionnity Punto 241,Ionnity,40.58318,-3.9426,AP-7,Área AP-7 km 112,CCS2,115.6,0.32,si
E0243,Zunder Punto 242,Zunder,40.13898,-3.75265,A-3,Área A-3 km 67,CCS2,61.9,0.411,si
E0244,Ionnity Punto 243,Ionnity,40.48317,-3.74946,A-2,Área A-2 km 250,CHAdeMO,78.7,0.305,si
E0245,Iberdrola Punto 244,Iberdrola,40.56091,-3.99672,A-3,Área A-3 km 213,CCS2,7.0,0.436,si
E0246,Endesa Punto 245,Endesa,40.51645,-3.5639,A-1,Área A-1 km 318,CHAdeMO,64.6,0.294,si
E0247,Zunder Punto 246,Zunder,40.28485,-3.60273,AP-7,Área AP-7 km 272,CHAdeMO,109.4,0.514,no
E0248,Ionnity Punto 247,Ionnity,40.42541,-3.8714,AP-7,Área AP-7 km 330,Type2,98.1,0.425,si
E0249,Tesla Punto 248,Tesla,40.2817,-3.7919,A-3,Área A-3 km 321,CCS2,75.4,0.473,si
E0250,Ionnity Punto 249,Ionnity,40.4217,-3.87155,A-2,Área A-2 km 17,Type2,101.5,0.382,si
E0251,Tesla Punto 250,Tesla,40.48807,-3.80759,A-1,Área A-1 km 66,Type2,68.3,0.483,si
E0252,Iberdrola Punto 251,Iberdrola,40.25411,-3.49192,AP-2,Área AP-2 km 482,CCS2,86.6,0.429,no
E0253,Zunder Punto 252,Zunder,40.45214,-3.57301,AP-7,Área AP-7 km 121,CHAdeMO,52.5,0.383,si
E0254,Wenea Punto 253,Wenea,40.52627,-3.43246,A-3,Área A-3 km 219,CCS2,10.0,0.463,no
E0255,Zunder Punto 254,Zunder,40.11562,-3.66379,A-1,Área A-1 km 315,Type2,32.5,0.432,si
E0256,Tesla Punto 255,Tesla,40.29932,-3.87434,A-3,Área A-3 km 151,CCS2,64.3,0.385,si
E0257,Iberdrola Punto 256,Iberdrola,40.25544,-3.78699,A-2,Área A-2 km 321,CHAdeMO,117.9,0.456,no
E0258,Iberdrola Punto 257,Iberdrola,40.42166,-3.6817,A-3,Área A-3 km 582,CCS2,92.4,0.373,si
E0259,Iberdrola Punto 258,Iberdrola,40.59535,-4.16094,A-5,Área A-5 km 303,Type2,50.4,0.482,si
E0260,Iberdrola Punto 259,Iberdrola,40.57084,-3.99203,AP-7,Área AP-7 km 286,CHAdeMO,72.8,0.348,no
E0261,Iberdrola Punto 260,Iberdrola,40.52666,-3.96167,AP-2,Área AP-2 km 315,CCS2,58.9,0.368,no
E0262,Tesla Punto 261,Tesla,40.41181,-3.87809,A-3,Área A-3 km 148,CCS2,42.9,0.344,si
E0263,Wenea Punto 262,Wenea,40.35985,-3.97423,A-5,Área A-5 km 189,CCS2,44.9,0.365,no
E0264,Iberdrola Punto 263,Iberdrola,40.45361,-3.97026,A-1,Área A-1 km 508,CCS2,83.6,0.359,no
E0265,Endesa Punto 264,Endesa,40.32889,-3.67915,AP-7,Área AP-7 km 166,Type2,49.4,0.404,si
E0266,Iberdrola Punto 265,Iberdrola,40.45256,-3.71709,A-2,Área A-2 km 267,CCS2,106.9,0.406,si
E0267,Tesla Punto 266,Tesla,40.21575,-3.58832,AP-7,Área AP-7 km 274,CCS2,7.0,0.433,si
E0268,Endesa Punto 267,Endesa,40.33273,-3.69914,A-5,Área A-5 km 320,CCS2,43.6,0.403,si
E0269,Ionnity Punto 268,Ionnity,40.21276,-3.64519,AP-2,Área AP-2 km 588,Type2,96.8,0.434,si
E0270,Wenea Punto 269,Wenea,40.46238,-3.71753,A-2,Área A-2 km 557,CCS2,163.6,0.393,si
E0271,Wenea Punto 270,Wenea,40.20608,-3.5354,A-1,Área A-1 km 66,CCS2,71.2,0.353,si
E0272,Ionnity Punto 271,Ionnity,40.68338,-3.60498,A-1,Área A-1 km 82,CCS2,81.4,0.418,si
E0273,Iberdrola Punto 272,Iberdrola,40.419,-3.8223,A-5,Área A-5 km 436,CCS2,80.2,0.416,si
E0274,Ionnity Punto 273,Ionnity,40.02652,-3.67299,A-2,Área A-2 km 320,CCS2,127.3,0.39,si
E0275,Zunder Punto 274,Zunder,40.52733,-3.77318,AP-2,Área AP-2 km 226,CCS2,114.9,0.36,si
E0276,Endesa Punto 275,Endesa,40.70427,-3.81832,AP-7,Área AP-7 km 219,CCS2,35.2,0.46,no
E0277,Zunder Punto 276,Zunder,40.53183,-3.88751,AP-2,Área AP-2 km 408,CCS2,121.4,0.591,no
E0278,Tesla Punto 277,Tesla,40.34287,-3.97533,A-1,Área A-1 km 427,CCS2,31.3,0.333,si
E0279,Iberdrola Punto 278,Iberdrola,40.37045,-3.72973,AP-7,Área AP-7 km 48,CCS2,113.6,0.418,si
E0280,Ionnity Punto 279,Ionnity,40.20576,-4.00046,AP-2,Área AP-2 km 167,CCS2,77.3,0.343,si
E0281,Ionnity Punto 280,Ionnity,40.27953,-3.64271,AP-2,Área AP-2 km 178,CHAdeMO,90.5,0.351,no
E0282,Tesla Punto 281,Tesla,40.40251,-3.774,A-5,Área A-5 km 192,Type2,93.7,0.432,no
E0283,Endesa Punto 282,Endesa,40.43099,-3.5861,AP-2,Área AP-2 km 298,CHAdeMO,109.8,0.372,no
E0284,Iberdrola Punto 283,Iberdrola,40.15963,-3.81087,A-1,Área A-1 km 25,Type2,63.8,0.389,no
E0285,Zunder Punto 284,Zunder,40.44851,-3.64523,A-1,Área A-1 km 280,CCS2,94.9,0.475,si
E0286,Endesa Punto 285,Endesa,40.4262,-3.68767,A-5,Área A-5 km 536,CCS2,105.9,0.453,si
E0287,Zunder Punto 286,Zunder,40.4126,-3.67482,A-2,Área A-2 km 332,Type2,163.3,0.389,si
E0288,Zunder Punto 287,Zunder,40.76748,-3.76051,AP-2,Área AP-2 km 580,CCS2,43.0,0.399,si
E0289,Endesa Punto 288,Endesa,40.60567,-3.71804,A-3,Área A-3 km 215,Type2,61.7,0.582,si
E0290,Wenea Punto 289,Wenea,40.2754,-3.56331,A-1,Área A-1 km 45,Type2,80.1,0.416,si
E0291,Zunder Punto 290,Zunder,40.45044,-3.61366,A-5,Área A-5 km 203,CCS2,88.3,0.371,si
E0292,Tesla Punto 291,Tesla,40.27521,-3.50863,A-2,Área A-2 km 292,CCS2,99.2,0.495,no
E0293,Wenea Punto 292,Wenea,40.32437,-3.83142,A-5,Área A-5 km 188,Type2,31.9,0.402,si
E0294,Endesa Punto 293,Endesa,40.48895,-3.62764,AP-7,Área AP-7 km 28,Type2,60.1,0.547,si
E0295,Tesla Punto 294,Tesla,40.15572,-3.7012,A-5,Área A-5 km 563,CCS2,70.1,0.392,si
E0296,Zunder Punto 295,Zunder,40.27714,-3.85367,AP-7,Área AP-7 km 156,CCS2,81.9,0.309,si
E0297,Endesa Punto 296,Endesa,40.29479,-3.78473,AP-2,Área AP-2 km 177,CHAdeMO,67.9,0.425,si
E0298,Wenea Punto 297,Wenea,40.34838,-3.63815,AP-2,Área AP-2 km 39,CHAdeMO,57.6,0.467,si
E0299,Iberdrola Punto 298,Iberdrola,40.28684,-3.70172,A-1,Área A-1 km 53,Type2,75.5,0.414,si
E0300,Tesla Punto 299,Tesla,40.30155,-3.6909,AP-7,Área AP-7 km 506,CCS2,31.0,0.434,si
E0301,Iberdrola Punto 300,Iberdrola,40.45839,-3.63104,A-5,Área A-5 km 424,CCS2,31.9,0.343,si
E0302,Tesla Punto 301,Tesla,40.41094,-3.71733,A-1,Área A-1 km 123,Type2,62.8,0.494,si
E0303,Endesa Punto 302,Endesa,40.49064,-3.79688,A-2,Área A-2 km 539,Type2,11.7,0.375,no
E0304,Iberdrola Punto 303,Iberdrola,40.40412,-3.60253,A-2,Área A-2 km 294,CCS2,116.4,0.349,si
E0305,Endesa Punto 304,Endesa,40.49944,-4.06039,AP-7,Área AP-7 km 6,CCS2,43.6,0.428,si
E0306,Endesa Punto 305,Endesa,40.50807,-3.73594,A-3,Área A-3 km 300,CCS2,56.8,0.445,si
E0307,Tesla Punto 306,Tesla,40.43583,-4.16337,A-1,Área A-1 km 84,CCS2,23.9,0.533,si
E0308,Wenea Punto 307,Wenea,40.4188,-3.53806,A-2,Área A-2 km 87,Type2,93.3,0.442,si
E0309,Wenea Punto 308,Wenea,40.17975,-3.6368,AP-7,Área AP-7 km 569,Type2,120.7,0.492,si
E0310,Endesa Punto 309,Endesa,40.80268,-3.8163,A-1,Área A-1 km 57,Type2,62.8,0.391,si
E0311,Zunder Punto 310,Zunder,40.4722,-3.77778,AP-7,Área AP-7 km 534,CCS2,152.4,0.421,no
E0312,Ionnity Punto 311,Ionnity,40.45869,-3.49848,A-1,Área A-1 km 532,CCS2,94.8,0.442,si
E0313,Iberdrola Punto 312,Iberdrola,40.37624,-3.64088,AP-2,Área AP-2 km 460,CCS2,125.3,0.488,si
E0314,Endesa Punto 313,Endesa,40.08388,-3.48331,AP-7,Área AP-7 km 84,CCS2,115.0,0.366,si
E0315,Wenea Punto 314,Wenea,40.34307,-3.6911,A-1,Área A-1 km 204,CCS2,185.7,0.47,si
E0316,Tesla Punto 315,Tesla,40.38829,-4.01201,AP-7,Área AP-7 km 11,CCS2,107.5,0.362,si
E0317,Wenea Punto 316,Wenea,40.52922,-3.60607,A-1,Área A-1 km 283,Type2,99.9,0.418,si
E0318,Ionnity Punto 317,Ionnity,40.43931,-3.6552,A-5,Área A-5 km 201,CHAdeMO,137.9,0.514,si
E0319,Endesa Punto 318,Endesa,40.79659,-3.48179,AP-7,Área AP-7 km 86,CHAdeMO,119.8,0.397,si
E0320,Iberdrola Punto 319,Iberdrola,40.38103,-3.72102,A-5,Área A-5 km 62,CCS2,60.8,0.274,si
E0321,Ionnity Punto 320,Ionnity,40.40379,-3.74486,AP-7,Área AP-7 km 283,Type2,106.6,0.328,no
E0322,Endesa Punto 321,Endesa,40.17548,-3.60352,AP-2,Área AP-2 km 265,CCS2,73.2,0.302,si
E0323,Tesla Punto 322,Tesla,40.28368,-3.87778,AP-7,Área AP-7 km 511,CCS2,57.3,0.409,si
E0324,Wenea Punto 323,Wenea,40.56383,-3.66162,A-2,Área A-2 km 475,CCS2,40.4,0.321,si
E0325,Ionnity Punto 324,Ionnity,40.33644,-3.83896,A-5,Área A-5 km 13,Type2,138.0,0.318,si
E0326,Tesla Punto 325,Tesla,40.30505,-3.79861,A-3,Área A-3 km 270,CCS2,7.0,0.308,si
E0327,Endesa Punto 326,Endesa,40.43194,-3.53373,A-1,Área A-1 km 232,CCS2,159.3,0.385,si
E0328,Wenea Punto 327,Wenea,40.57094,-3.85655,A-5,Área A-5 km 233,CCS2,65.3,0.363,si
E0329,Ionnity Punto 328,Ionnity,40.45826,-3.55447,A-5,Área A-5 km 391,CCS2,69.8,0.424,si
E0330,Wenea Punto 329,Wenea,40.5397,-3.31326,A-2,Área A-2 km 25,Type2,56.7,0.466,si
E0331,Ionnity Punto 330,Ionnity,40.49797,-3.82794,A-1,Área A-1 km 528,CCS2,58.6,0.425,si
E0332,Zunder Punto 331,Zunder,40.12931,-3.89271,A-2,Área A-2 km 502,CCS2,68.8,0.349,si
E0333,Zunder Punto 332,Zunder,40.61518,-3.60451,A-1,Área A-1 km 263,CHAdeMO,75.6,0.392,no
E0334,Iberdrola Punto 333,Iberdrola,40.28066,-3.69833,AP-7,Área AP-7 km 373,CCS2,83.5,0.466,no
E0335,Ionnity Punto 334,Ionnity,40.44942,-3.70917,AP-7,Área AP-7 km 193,CCS2,71.0,0.413,si
E0336,Wenea Punto 335,Wenea,40.41646,-3.5815,AP-2,Área AP-2 km 107,CCS2,105.6,0.374,si
E0337,Iberdrola Punto 336,Iberdrola,40.08792,-3.78601,AP-7,Área AP-7 km 146,CCS2,124.3,0.453,si
E0338,Endesa Punto 337,Endesa,40.59946,-3.56589,A-1,Área A-1 km 449,CCS2,89.4,0.474,si
E0339,Tesla Punto 338,Tesla,40.44923,-3.58307,A-1,Área A-1 km 385,Type2,79.9,0.385,si
E0340,Tesla Punto 339,Tesla,40.16008,-3.73609,A-3,Área A-3 km 516,CCS2,66.4,0.312,si
E0341,Zunder Punto 340,Zunder,40.36109,-3.54145,A-1,Área A-1 km 56,Type2,53.3,0.489,no
E0342,Zunder Punto 341,Zunder,40.39055,-3.54695,A-3,Área A-3 km 548,CHAdeMO,10.1,0.457,no
E0343,Zunder Punto 342,Zunder,40.36872,-3.58568,AP-2,Área AP-2 km 65,Type2,73.2,0.391,si
E0344,Iberdrola Punto 343,Iberdrola,40.49177,-3.95567,A-2,Área A-2 km 532,Type2,57.7,0.295,si
E0345,Iberdrola Punto 344,Iberdrola,40.54274,-3.48855,AP-2,Área AP-2 km 213,CHAdeMO,134.6,0.442,si
E0346,Ionnity Punto 345,Ionnity,40.58684,-3.84503,A-1,Área A-1 km 256,CCS2,92.6,0.311,si
E0347,Ionnity Punto 346,Ionnity,40.63781,-3.67636,A-1,Área A-1 km 115,CCS2,72.1,0.443,si
E0348,Zunder Punto 347,Zunder,40.62265,-3.85247,A-3,Área A-3 km 431,Type2,71.5,0.44,si
E0349,Tesla Punto 348,Tesla,40.62832,-3.65739,A-5,Área A-5 km 44,CCS2,100.0,0.37,no
E0350,Ionnity Punto 349,Ionnity,40.17557,-3.82721,A-5,Área A-5 km 556,CCS2,86.5,0.305,si
E0351,Endesa Punto 350,Endesa,40.40362,-3.67309,A-5,Área A-5 km 339,Type2,122.2,0.366,si
E0352,Tesla Punto 351,Tesla,40.21717,-3.95401,A-2,Área A-2 km 370,CCS2,50.9,0.396,si
E0353,Endesa Punto 352,Endesa,40.55636,-3.81948,AP-7,Área AP-7 km 394,Type2,141.3,0.379,si
E0354,Tesla Punto 353,Tesla,40.334,-3.72707,A-3,Área A-3 km 444,CCS2,133.6,0.371,si
E0355,Iberdrola Punto 354,Iberdrola,40.40845,-3.703,A-5,Área A-5 km 328,CCS2,120.6,0.492,no
E0356,Iberdrola Punto 355,Iberdrola,40.32902,-3.6155,A-1,Área A-1 km 235,CCS2,36.2,0.363,no
E0357,Endesa Punto 356,Endesa,40.33975,-3.66012,A-2,Área A-2 km 183,CCS2,170.7,0.357,no
E0358,Endesa Punto 357,Endesa,40.29278,-3.70691,AP-7,Área AP-7 km 594,CCS2,85.7,0.363,no
E0359,Endesa Punto 358,Endesa,40.31179,-3.75591,AP-2,Área AP-2 km 188,CCS2,17.8,0.395,no
E0360,Iberdrola Punto 359,Iberdrola,40.41381,-3.80216,A-2,Área A-2 km 335,CCS2,132.4,0.392,si
E0361,Iberdrola Punto 360,Iberdrola,40.65167,-3.6275,AP-7,Área AP-7 km 322,Type2,7.0,0.447,si
E0362,Endesa Punto 361,Endesa,40.31328,-3.92663,A-3,Área A-3 km 116,CCS2,7.0,0.406,no
E0363,Wenea Punto 362,Wenea,40.262,-3.7133,A-5,Área A-5 km 307,Type2,60.4,0.504,si
E0364,Tesla Punto 363,Tesla,40.47578,-3.8331,AP-7,Área AP-7 km 64,CHAdeMO,30.5,0.47,si
E0365,Iberdrola Punto 364,Iberdrola,40.47685,-4.13303,A-3,Área A-3 km 135,CCS2,87.1,0.413,no
E0366,Ionnity Punto 365,Ionnity,40.24577,-3.72501,AP-7,Área AP-7 km 310,CCS2,79.6,0.43,si
E0367,Iberdrola Punto 366,Iberdrola,40.61029,-3.96399,AP-7,Área AP-7 km 429,CHAdeMO,82.2,0.385,si
E0368,Wenea Punto 367,Wenea,40.69299,-3.89346,AP-2,Área AP-2 km 445,CCS2,22.9,0.524,si
E0369,Ionnity Punto 368,Ionnity,40.27514,-3.73907,AP-2,Área AP-2 km 367,CCS2,173.3,0.504,si
E0370,Iberdrola Punto 369,Iberdrola,40.15034,-3.55087,AP-7,Área AP-7 km 439,CCS2,116.8,0.392,no
E0371,Endesa Punto 370,Endesa,40.47552,-3.76285,A-3,Área A-3 km 461,CCS2,10.2,0.427,no
E0372,Wenea Punto 371,Wenea,40.46653,-3.59128,AP-7,Área AP-7 km 37,Type2,47.2,0.323,si
E0373,Endesa Punto 372,Endesa,40.31269,-3.977,A-2,Área A-2 km 330,Type2,145.1,0.47,si
E0374,Zunder Punto 373,Zunder,40.38015,-3.72836,AP-2,Área AP-2 km 165,Type2,180.4,0.453,si
E0375,Wenea Punto 374,Wenea,40.64248,-3.80296,AP-2,Área AP-2 km 354,Type2,95.0,0.484,si
E0376,Iberdrola Punto 375,Iberdrola,40.40833,-3.7903,A-2,Área A-2 km 489,CHAdeMO,134.2,0.413,si
E0377,Ionnity Punto 376,Ionnity,40.51814,-3.61975,AP-2,Área AP-2 km 316,CCS2,64.7,0.454,si
E0378,Iberdrola Punto 377,Iberdrola,40.54794,-3.85109,A-2,Área A-2 km 558,CCS2,79.3,0.524,si
E0379,Zunder Punto 378,Zunder,40.33133,-3.79895,A-2,Área A-2 km 201,CCS2,60.4,0.395,si
E0380,Wenea Punto 379,Wenea,40.19743,-3.58682,A-2,Área A-2 km 200,CCS2,108.7,0.328,no
E0381,Zunder Punto 380,Zunder,40.41818,-3.72124,A-1,Área A-1 km 389,CHAdeMO,148.7,0.535,si
E0382,Wenea Punto 381,Wenea,40.5639,-3.55823,A-5,Área A-5 km 375,CHAdeMO,94.7,0.414,si
E0383,Zunder Punto 382,Zunder,40.42811,-3.72898,A-5,Área A-5 km 247,CCS2,118.8,0.455,no
E0384,Ionnity Punto 383,Ionnity,40.33164,-3.79692,A-1,Área A-1 km 405,CCS2,114.0,0.411,no
E0385,Ionnity Punto 384,Ionnity,40.29352,-3.46749,A-1,Área A-1 km 76,CCS2,72.6,0.428,si
E0386,Tesla Punto 385,Tesla,40.51173,-3.82131,AP-2,Área AP-2 km 222,CCS2,31.6,0.345,si
E0387,Tesla Punto 386,Tesla,40.50264,-3.98033,A-5,Área A-5 km 548,CCS2,47.9,0.356,no
E0388,Endesa Punto 387,Endesa,40.21847,-3.78438,A-5,Área A-5 km 105,CCS2,90.9,0.438,no
E0389,Iberdrola Punto 388,Iberdrola,40.41651,-3.65828,A-5,Área A-5 km 283,CCS2,95.5,0.428,si
E0390,Ionnity Punto 389,Ionnity,40.48004,-3.7179,A-2,Área A-2 km 152,CHAdeMO,49.5,0.38,si
E0391,Tesla Punto 390,Tesla,40.42859,-3.83322,AP-7,Área AP-7 km 99,CCS2,107.3,0.386,si
E0392,Wenea Punto 391,Wenea,40.35547,-3.69762,A-2,Área A-2 km 558,Type2,75.8,0.348,no
E0393,Endesa Punto 392,Endesa,40.41663,-4.03906,A-3,Área A-3 km 432,CCS2,89.3,0.537,si
E0394,Wenea Punto 393,Wenea,40.55362,-3.8121,A-5,Área A-5 km 100,Type2,24.1,0.381,si
E0395,Ionnity Punto 394,Ionnity,40.45832,-3.90636,AP-7,Área AP-7 km 513,CCS2,62.5,0.375,no
E0396,Ionnity Punto 395,Ionnity,40.30352,-4.11473,A-2,Área A-2 km 448,CCS2,131.9,0.396,si
E0397,Endesa Punto 396,Endesa,40.42047,-3.74781,A-1,Área A-1 km 272,CCS2,69.7,0.434,no
E0398,Tesla Punto 397,Tesla,40.59219,-3.87925,AP-7,Área AP-7 km 199,CCS2,63.2,0.269,si
E0399,Endesa Punto 398,Endesa,40.43387,-3.67614,A-2,Área A-2 km 386,Type2,153.0,0.344,si
E0400,Zunder Punto 399,Zunder,40.42105,-3.94379,A-1,Área A-1 km 591,CCS2,47.7,0.542,si
E0401,Wenea Punto 400,Wenea,40.41219,-3.7914,AP-7,Área AP-7 km 236,CHAdeMO,79.8,0.439,si
E0402,Tesla Punto 401,Tesla,40.39804,-3.79531,A-3,Área A-3 km 152,Type2,71.4,0.513,no
E0403,Wenea Punto 402,Wenea,40.34974,-3.67222,AP-7,Área AP-7 km 142,CCS2,138.4,0.433,si
E0404,Wenea Punto 403,Wenea,40.40794,-3.34527,A-1,Área A-1 km 270,Type2,44.3,0.347,si
E0405,Endesa Punto 404,Endesa,40.60415,-3.60065,A-1,Área A-1 km 11,CCS2,153.6,0.327,si
E0406,Ionnity Punto 405,Ionnity,40.57585,-3.74436,A-2,Área A-2 km 137,Type2,169.4,0.399,no
E0407,Wenea Punto 406,Wenea,40.33179,-3.79844,A-2,Área A-2 km 237,CHAdeMO,117.3,0.443,no
E0408,Ionnity Punto 407,Ionnity,40.23299,-3.47861,A-5,Área A-5 km 33,CCS2,44.5,0.41,si
E0409,Ionnity Punto 408,Ionnity,40.21306,-3.82994,A-5,Área A-5 km 40,CCS2,85.9,0.414,si
E0410,Tesla Punto 409,Tesla,40.58054,-3.63078,A-2,Área A-2 km 184,Type2,71.2,0.37,si
