vehicle_id,datetime,location_province,liters,kwh,price_per_l,price_per_kwh,cost_eur,km_since_last,odo_km
T00264,2016-12-24,A Coruña,749.09,,,,,3934,229827
T00295,2016-12-25,Zaragoza,374.64,,,,,1378,170977
T00101,2016-12-25,Valencia,723.22,,,,,1656,156903
T00284,2016-12-25,A Coruña,458.27,,,,,1705,177429
B00336,2016-12-25,A Coruña,182.05,,,,,430,123376
T00030,2016-12-25,Sevilla,664.44,,,,,1929,126728
T00084,2016-12-25,Valencia,379.41,,,,,888,236366
T00158,2016-12-25,Zaragoza,422.04,,,,,1390,159434
T00207,2016-12-25,Barcelona,291.57,,,,,990,226388
B00353,2016-12-26,A Coruña,79.44,,,,,158,240622
B00397,2016-12-26,Madrid,187.7,,,,,327,204165
T00141,2016-12-26,Barcelona,532.37,,,,,1669,193176
T00257,2016-12-26,Barcelona,99.07,,,,,335,120855
B00367,2016-12-27,A Coruña,177.86,,,,,293,285122
T00161,2016-12-27,Valencia,575.51,,,,,2140,286078
B00380,2016-12-27,Sevilla,59.79,,,,,153,143816
B00305,2016-12-27,Sevilla,,234.24,,,,172,141424
B00416,2016-12-27,A Coruña,174.36,,,,,420,186063
T00227,2016-12-27,Zaragoza,730.61,,,,,3154,282581
B00414,2016-12-28,A Coruña,184.49,,,,,710,233211
T00077,2016-12-28,Zaragoza,159.17,,,,,478,113629
B00403,2016-12-28,Madrid,61.46,,,,,169,231039
T00003,2016-12-28,Sevilla,370.21,,,,,1179,263972
B00409,2016-12-28,Barcelona,272.53,,,,,732,269741
T00023,2016-12-28,Sevilla,433.46,,,,,1394,275317
T00266,2016-12-29,Madrid,643.51,,,,,2567,222482
B00346,2016-12-29,Valencia,358.36,,,,,878,239492
T00063,2016-12-30,Valencia,353.58,,,,,1158,255725
T00026,2016-12-30,A Coruña,399.95,,,,,1811,171463
T00083,2016-12-30,A Coruña,555.85,,,,,1509,237312
B00305,2016-12-30,Barcelona,,314.94,,,,232,139665
T00192,2016-12-31,Zaragoza,264.12,,,,,717,302793
T00280,2016-12-31,Barcelona,158.93,,,,,677,226219
B00315,2017-01-01,Sevilla,,183.22,,,,126,268392
T00267,2017-01-01,A Coruña,159.95,,,,,636,251929
T00104,2017-01-01,Madrid,276.48,,,,,792,179532
B00377,2017-01-01,Valencia,82.82,,,,,210,269886
T00220,2017-01-02,Zaragoza,481.89,,,,,1535,248403
T00094,2017-01-02,Sevilla,419.0,,,,,1660,133734
T00277,2017-01-02,A Coruña,139.3,,,,,501,240569
T00283,2017-01-03,Valencia,290.36,,,,,1047,256458
T00157,2017-01-03,A Coruña,496.53,,,,,1485,117014
B00401,2017-01-03,Zaragoza,54.14,,,,,200,139210
B00375,2017-01-03,Madrid,313.68,,,,,845,220668
T00286,2017-01-04,Zaragoza,253.95,,,,,931,270722
T00058,2017-01-05,A Coruña,444.83,,,,,1524,252383
T00260,2017-01-05,Valencia,652.2,,,,,2424,303402
T00144,2017-01-05,Zaragoza,241.29,,,,,1022,216139
B00307,2017-01-05,Valencia,,122.74,,,,80,257745
T00283,2017-01-05,Barcelona,130.34,,,,,470,243794
T00038,2017-01-06,Zaragoza,208.71,,,,,704,247210
B00303,2017-01-06,Valencia,,139.03,,,,100,119764
T00103,2017-01-06,A Coruña,423.59,,,,,1682,244735
B00323,2017-01-07,Sevilla,,210.84,,,,137,243906
T00079,2017-01-07,Madrid,330.67,,,,,998,289374
T00186,2017-01-07,Sevilla,284.78,,,,,774,244403
T00179,2017-01-07,Sevilla,152.23,,,,,422,260593
T00231,2017-01-07,Sevilla,368.65,,,,,1205,135979
T00044,2017-01-07,Madrid,551.02,,,,,1564,141368
B00397,2017-01-08,Zaragoza,207.14,,,,,361,207525
T00036,2017-01-08,Madrid,177.57,,,,,696,167556
T00158,2017-01-08,Zaragoza,146.92,,,,,484,164131
T00200,2017-01-09,Sevilla,302.01,,,,,1171,256969
T00116,2017-01-09,Madrid,139.3,,,,,377,137530
T00027,2017-01-09,Zaragoza,607.0,,,,,2608,301019
T00015,2017-01-09,Zaragoza,360.64,,,,,1335,181249
T00265,2017-01-09,Sevilla,256.61,,,,,749,246420
T00263,2017-01-10,Madrid,517.03,,,,,1924,152231
T00080,2017-01-10,Sevilla,151.7,,,,,519,306732
T00285,2017-01-10,Sevilla,448.66,,,,,1734,245675
T00122,2017-01-10,Sevilla,229.46,,,,,743,281872
B00328,2017-01-10,Zaragoza,112.83,,,,,260,191721
B00385,2017-01-10,Madrid,237.86,,,,,684,216321
B00368,2017-01-10,Valencia,209.12,,,,,671,187333
T00244,2017-01-10,Valencia,471.32,,,,,1387,303190
T00112,2017-01-10,A Coruña,369.72,,,,,952,223366
B00405,2017-01-11,Sevilla,222.19,,,,,419,209385
T00252,2017-01-12,Barcelona,196.41,,,,,691,168545
T00010,2017-01-12,Barcelona,456.77,,,,,1737,211821
T00237,2017-01-12,Barcelona,161.0,,,,,754,230220
T00160,2017-01-12,Madrid,331.84,,,,,1069,155136
T00041,2017-01-12,Madrid,249.37,,,,,890,205831
T00042,2017-01-12,Zaragoza,327.29,,,,,1101,178583
T00110,2017-01-13,Sevilla,518.85,,,,,1890,288993
T00038,2017-01-13,Valencia,178.29,,,,,601,237136
T00051,2017-01-13,Sevilla,696.11,,,,,1888,175754
T00239,2017-01-13,A Coruña,724.92,,,,,2338,340729
T00296,2017-01-14,A Coruña,228.36,,,,,913,268674
B00394,2017-01-14,Valencia,308.73,,,,,866,187891
T00250,2017-01-14,Valencia,125.62,,,,,387,218735
T00183,2017-01-14,Barcelona,384.82,,,,,1352,273816
T00210,2017-01-14,Sevilla,131.25,,,,,565,220816
T00132,2017-01-14,Sevilla,399.34,,,,,1018,319511
T00155,2017-01-15,Barcelona,945.66,,,,,4610,133830
T00109,2017-01-15,Sevilla,377.76,,,,,1488,149071
T00131,2017-01-16,Sevilla,271.71,,,,,647,181647
T00239,2017-01-16,Zaragoza,796.83,,,,,2570,329620
T00257,2017-01-16,Sevilla,292.98,,,,,993,125253
B00393,2017-01-16,Madrid,263.45,,,,,1014,303804
T00251,2017-01-17,Sevilla,815.97,,,,,2025,140673
B00417,2017-01-17,Madrid,146.58,,,,,326,109148
T00038,2017-01-17,Valencia,702.06,,,,,2370,246506
T00286,2017-01-18,Barcelona,142.61,,,,,522,249832
T00026,2017-01-18,Valencia,393.32,,,,,1781,153421
T00156,2017-01-18,Madrid,497.2,,,,,1365,135608
T00238,2017-01-19,A Coruña,432.27,,,,,1161,126489
T00058,2017-01-19,Barcelona,441.55,,,,,1513,244276
T00218,2017-01-19,Sevilla,390.43,,,,,1592,214981
T00134,2017-01-19,Sevilla,313.56,,,,,973,124634
B00384,2017-01-20,Sevilla,91.66,,,,,218,148306
T00172,2017-01-20,Valencia,354.89,,,,,1024,219635
B00405,2017-01-20,Zaragoza,52.99,,,,,100,206390
T00049,2017-01-20,Madrid,351.87,,,,,1082,306486
B00356,2017-01-21,A Coruña,124.24,,,,,320,289468
B00415,2017-01-21,Barcelona,233.47,,,,,572,146139
T00256,2017-01-21,Sevilla,83.8,,,,,288,192946
B00355,2017-01-21,Valencia,218.04,,,,,703,156959
T00067,2017-01-21,Madrid,83.85,,,,,264,152972
T00193,2017-01-21,Sevilla,526.27,,,,,2656,235457
B00415,2017-01-22,Sevilla,308.03,,,,,755,151277
T00284,2017-01-22,Barcelona,79.74,,,,,296,173518
T00231,2017-01-22,Barcelona,448.16,,,,,1466,155384
T00128,2017-01-22,Sevilla,170.23,,,,,600,281636
T00282,2017-01-22,Sevilla,444.28,,,,,1449,158060
T00291,2017-01-22,Zaragoza,504.83,,,,,1913,186877
T00002,2017-01-23,A Coruña,50.67,,,,,160,148450
T00062,2017-01-23,Madrid,381.86,,,,,1765,222180
T00104,2017-01-24,Valencia,270.94,,,,,776,170191
B00347,2017-01-24,A Coruña,65.28,,,,,108,259011
T00084,2017-01-25,A Coruña,126.22,,,,,295,238610
T00216,2017-01-25,Barcelona,652.41,,,,,2281,246240
T00163,2017-01-26,Zaragoza,436.03,,,,,1370,152521
T00194,2017-01-26,Zaragoza,845.66,,,,,2234,221697
T00159,2017-01-26,Sevilla,600.89,,,,,2179,181400
T00146,2017-01-26,Zaragoza,153.62,,,,,390,206156
B00319,2017-01-26,A Coruña,,294.12,,,,248,174480
T00051,2017-01-27,Valencia,138.53,,,,,375,181091
T00128,2017-01-27,Madrid,461.02,,,,,1627,279558
T00286,2017-01-27,Barcelona,465.61,,,,,1707,281747
T00109,2017-01-27,Madrid,828.72,,,,,3266,195182
B00339,2017-01-27,A Coruña,227.07,,,,,547,136258
B00338,2017-01-28,Valencia,268.58,,,,,575,136384
T00056,2017-01-28,Sevilla,153.04,,,,,482,121619
T00297,2017-01-28,A Coruña,80.71,,,,,291,296058
B00320,2017-01-29,Zaragoza,,181.42,,,,120,105143
T00213,2017-01-29,Sevilla,104.33,,,,,309,235200
B00354,2017-01-29,Barcelona,197.08,,,,,589,127104
T00220,2017-01-30,Valencia,474.85,,,,,1512,255436
B00384,2017-01-30,Valencia,102.99,,,,,245,140526
B00364,2017-01-30,A Coruña,245.07,,,,,594,203842
T00091,2017-01-30,Sevilla,353.66,,,,,1145,145152
T00060,2017-01-30,Barcelona,652.29,,,,,1761,125228
T00155,2017-01-30,Barcelona,250.43,,,,,1221,135051
T00212,2017-01-31,Madrid,655.11,,,,,2059,236981
T00300,2017-01-31,Valencia,253.45,,,,,808,267497
T00090,2017-01-31,Barcelona,210.04,,,,,613,300055
T00300,2017-02-01,A Coruña,548.82,,,,,1751,281339
T00014,2017-02-01,Sevilla,321.04,,,,,1170,114585
T00019,2017-02-01,Zaragoza,231.75,,,,,803,161956
B00370,2017-02-01,Sevilla,67.76,,,,,361,195820
T00146,2017-02-01,A Coruña,97.96,,,,,248,204398
T00181,2017-02-02,Zaragoza,696.42,,,,,2628,255985
T00101,2017-02-02,Zaragoza,551.52,,,,,1262,154112
T00228,2017-02-03,A Coruña,213.75,,,,,654,187202
T00212,2017-02-03,Barcelona,735.8,,,,,2313,227910
T00277,2017-02-03,Zaragoza,363.02,,,,,1305,233215
T00271,2017-02-04,Valencia,88.28,,,,,357,306901
T00293,2017-02-04,A Coruña,784.22,,,,,1949,219823
B00416,2017-02-05,A Coruña,155.02,,,,,374,188261
B00310,2017-02-05,A Coruña,,141.06,,,,77,181693
T00204,2017-02-05,Zaragoza,99.44,,,,,328,209988
T00022,2017-02-06,Zaragoza,179.7,,,,,499,126081
T00044,2017-02-06,Zaragoza,400.46,,,,,1137,117682
B00317,2017-02-06,Sevilla,,195.32,,,,143,276397
T00188,2017-02-07,Barcelona,167.18,,,,,538,307035
B00323,2017-02-07,Valencia,,166.8,,,,108,242614
T00262,2017-02-07,Valencia,532.6,,,,,2232,234603
B00338,2017-02-07,Sevilla,47.28,,,,,101,137822
T00245,2017-02-07,Madrid,556.3,,,,,1856,169897
T00041,2017-02-08,Zaragoza,260.77,,,,,930,208261
B00388,2017-02-08,Zaragoza,399.36,,,,,737,274585
T00104,2017-02-08,Barcelona,274.5,,,,,786,171386
T00209,2017-02-08,Sevilla,469.94,,,,,1608,207140
T00125,2017-02-09,Sevilla,483.22,,,,,2294,125673
T00226,2017-02-09,Zaragoza,322.02,,,,,1463,199323
T00267,2017-02-09,A Coruña,421.71,,,,,1677,249219
B00368,2017-02-09,Barcelona,74.67,,,,,239,187572
T00226,2017-02-10,Barcelona,365.58,,,,,1661,196486
T00007,2017-02-10,A Coruña,456.93,,,,,2697,207679
T00223,2017-02-10,Sevilla,298.09,,,,,793,182398
B00313,2017-02-10,A Coruña,,121.42,,,,75,194062
T00208,2017-02-10,Madrid,542.7,,,,,1555,140865
B00330,2017-02-11,Barcelona,466.77,,,,,1079,284090
B00376,2017-02-11,Sevilla,173.07,,,,,438,114980
T00088,2017-02-11,Zaragoza,121.63,,,,,337,265006
B00394,2017-02-11,Barcelona,346.67,,,,,972,208919
T00120,2017-02-11,Valencia,116.09,,,,,386,205222
T00195,2017-02-11,Valencia,277.9,,,,,975,177027
B00337,2017-02-12,Zaragoza,170.28,,,,,411,301928
T00154,2017-02-13,Barcelona,176.26,,,,,581,185647
T00205,2017-02-13,Sevilla,508.26,,,,,1825,184951
T00004,2017-02-13,Sevilla,491.41,,,,,1402,280422
T00140,2017-02-13,Barcelona,284.31,,,,,1295,301016
B00381,2017-02-14,Madrid,280.23,,,,,753,169881
B00363,2017-02-15,Valencia,43.23,,,,,125,151898
T00226,2017-02-15,Valencia,350.69,,,,,1594,181415
T00150,2017-02-15,Sevilla,208.21,,,,,568,198479
B00405,2017-02-16,Barcelona,165.89,,,,,313,211891
B00398,2017-02-16,A Coruña,198.32,,,,,437,256478
T00209,2017-02-17,Madrid,52.59,,,,,180,203625
B00341,2017-02-18,Sevilla,174.7,,,,,321,189742
T00154,2017-02-18,Sevilla,469.63,,,,,1549,201882
T00068,2017-02-18,Madrid,351.03,,,,,1171,192148
T00053,2017-02-18,A Coruña,90.14,,,,,313,220689
T00222,2017-02-18,Zaragoza,282.93,,,,,952,317707
T00072,2017-02-19,Sevilla,158.52,,,,,428,203092
T00137,2017-02-19,A Coruña,220.52,,,,,843,197545
T00067,2017-02-19,Sevilla,245.13,,,,,773,154823
T00133,2017-02-19,Sevilla,686.5,,,,,2282,274526
T00291,2017-02-20,A Coruña,514.83,,,,,1951,191227
T00191,2017-02-20,Zaragoza,255.16,,,,,956,154052
T00283,2017-02-20,Madrid,343.97,,,,,1241,263292
T00153,2017-02-20,Madrid,308.15,,,,,1062,289893
B00367,2017-02-21,Madrid,134.52,,,,,222,289143
B00330,2017-02-21,Madrid,246.51,,,,,570,285572
T00186,2017-02-21,Sevilla,366.58,,,,,996,250042
T00151,2017-02-22,Barcelona,380.87,,,,,1257,264515
T00036,2017-02-22,Sevilla,387.93,,,,,1520,177498
T00079,2017-02-22,Barcelona,511.8,,,,,1546,270953
T00009,2017-02-23,A Coruña,449.48,,,,,1613,233565
T00064,2017-02-23,Sevilla,500.69,,,,,1798,139621
T00160,2017-02-23,Madrid,325.47,,,,,1048,159003
T00201,2017-02-23,Zaragoza,61.52,,,,,202,182738
B00364,2017-02-23,Zaragoza,296.71,,,,,720,204959
T00191,2017-02-23,Sevilla,431.76,,,,,1618,197268
B00381,2017-02-24,A Coruña,126.46,,,,,340,171604
T00043,2017-02-24,A Coruña,84.03,,,,,366,172319
T00218,2017-02-24,A Coruña,465.91,,,,,1900,186635
B00370,2017-02-25,Valencia,90.15,,,,,481,199443
T00034,2017-02-25,Zaragoza,298.09,,,,,839,299048
B00393,2017-02-25,Barcelona,301.79,,,,,1162,305776
T00172,2017-02-25,Madrid,635.59,,,,,1834,217586
B00311,2017-02-25,Valencia,,90.48,,,,65,237429
B00413,2017-02-26,Sevilla,241.57,,,,,541,215106
T00129,2017-02-26,Valencia,618.59,,,,,1888,210218
T00129,2017-02-26,Valencia,345.96,,,,,1056,217990
B00302,2017-02-26,Barcelona,,126.38,,,,89,191689
T00014,2017-02-27,Zaragoza,233.62,,,,,851,109641
T00029,2017-02-27,Barcelona,101.97,,,,,309,153773
B00302,2017-02-28,Valencia,,149.41,,,,105,190903
T00151,2017-02-28,Madrid,372.76,,,,,1230,272869
T00010,2017-02-28,A Coruña,137.52,,,,,523,195603
T00022,2017-02-28,Valencia,390.95,,,,,1086,121549
T00039,2017-03-01,Zaragoza,327.42,,,,,873,121605
T00157,2017-03-01,Zaragoza,433.36,,,,,1296,130882
B00305,2017-03-01,Barcelona,,290.87,,,,214,138781
T00192,2017-03-01,Zaragoza,279.46,,,,,759,289873
B00344,2017-03-03,Barcelona,143.75,,,,,465,313213
B00379,2017-03-03,Madrid,207.77,,,,,509,257971
T00133,2017-03-03,A Coruña,625.88,,,,,2080,303790
B00336,2017-03-03,Valencia,77.42,,,,,183,132896
T00101,2017-03-04,Barcelona,350.72,,,,,803,165197
B00396,2017-03-04,Barcelona,281.6,,,,,708,212815
T00040,2017-03-04,Madrid,403.48,,,,,1273,166063
T00269,2017-03-04,A Coruña,547.38,,,,,2109,297076
T00135,2017-03-05,Valencia,529.49,,,,,1906,170037
T00136,2017-03-06,Barcelona,334.33,,,,,1544,238480
T00221,2017-03-06,Zaragoza,419.07,,,,,1422,156638
T00162,2017-03-07,Zaragoza,318.39,,,,,1128,254992
T00239,2017-03-07,Zaragoza,372.8,,,,,1202,344717
T00132,2017-03-07,Madrid,532.06,,,,,1356,308340
T00229,2017-03-08,Barcelona,182.08,,,,,704,230149
T00139,2017-03-08,Zaragoza,221.32,,,,,700,195350
B00385,2017-03-08,Madrid,40.53,,,,,116,232305
T00169,2017-03-08,Barcelona,159.23,,,,,421,130115
T00297,2017-03-08,Valencia,120.19,,,,,433,284910
T00019,2017-03-09,Zaragoza,97.36,,,,,337,168966
T00122,2017-03-09,A Coruña,461.78,,,,,1495,281129
T00108,2017-03-09,Sevilla,58.6,,,,,172,154327
B00334,2017-03-09,Sevilla,312.33,,,,,653,215010
T00287,2017-03-10,Zaragoza,199.64,,,,,1141,201610
T00283,2017-03-10,Madrid,330.26,,,,,1191,260958
T00140,2017-03-10,Zaragoza,520.76,,,,,2373,266443
B00390,2017-03-11,Zaragoza,241.39,,,,,721,288843
B00367,2017-03-11,Madrid,144.71,,,,,238,289381
T00287,2017-03-12,A Coruña,368.98,,,,,2109,218920
T00273,2017-03-12,Valencia,284.19,,,,,914,120245
B00310,2017-03-12,Zaragoza,,128.07,,,,70,181976
B00403,2017-03-12,Madrid,283.63,,,,,782,233490
B00372,2017-03-13,Sevilla,29.7,,,,,71,138022
T00086,2017-03-13,Sevilla,51.13,,,,,142,158204
T00146,2017-03-14,Barcelona,278.97,,,,,708,194450
T00055,2017-03-14,Sevilla,717.58,,,,,4291,186148
T00193,2017-03-15,A Coruña,679.7,,,,,3431,229068
B00358,2017-03-16,Sevilla,87.04,,,,,224,136553
T00291,2017-03-16,A Coruña,543.53,,,,,2060,204962
T00059,2017-03-16,Madrid,87.4,,,,,345,295327
T00268,2017-03-17,A Coruña,213.88,,,,,703,183745
T00063,2017-03-17,Zaragoza,433.99,,,,,1422,248893
T00185,2017-03-17,A Coruña,191.89,,,,,580,118881
B00318,2017-03-17,A Coruña,,219.88,,,,208,104882
B00407,2017-03-18,Sevilla,84.84,,,,,218,136272
T00143,2017-03-18,Zaragoza,522.1,,,,,1981,115954
T00111,2017-03-18,Madrid,270.67,,,,,816,322012
T00233,2017-03-18,Valencia,250.21,,,,,712,203966
B00327,2017-03-18,Valencia,221.34,,,,,613,180281
T00067,2017-03-18,Madrid,199.61,,,,,629,168317
B00372,2017-03-19,A Coruña,57.58,,,,,138,145507
T00271,2017-03-20,Sevilla,213.59,,,,,865,310772
T00007,2017-03-20,Sevilla,468.51,,,,,2765,226434
T00070,2017-03-20,Barcelona,613.1,,,,,1810,227511
T00005,2017-03-20,Madrid,183.22,,,,,676,211615
T00277,2017-03-20,Madrid,526.0,,,,,1892,246858
B00396,2017-03-20,Sevilla,90.54,,,,,227,214250
T00052,2017-03-20,Valencia,707.48,,,,,2291,263701
T00044,2017-03-21,Barcelona,472.46,,,,,1341,128967
T00073,2017-03-21,A Coruña,335.4,,,,,1218,125124
B00387,2017-03-21,Zaragoza,66.82,,,,,250,230141
T00250,2017-03-21,Zaragoza,321.85,,,,,992,205681
T00168,2017-03-22,Sevilla,395.54,,,,,1654,319645
T00237,2017-03-22,Barcelona,327.44,,,,,1533,251152
T00038,2017-03-22,Madrid,375.1,,,,,1266,248476
B00415,2017-03-22,Zaragoza,262.4,,,,,643,142836
T00168,2017-03-23,Zaragoza,623.52,,,,,2608,326919
B00336,2017-03-23,A Coruña,283.05,,,,,669,130943
T00232,2017-03-23,Valencia,924.93,,,,,2449,226353
B00403,2017-03-23,Barcelona,88.92,,,,,245,238843
B00419,2017-03-23,Barcelona,218.82,,,,,826,239575
T00269,2017-03-23,Zaragoza,461.7,,,,,1779,279250
T00151,2017-03-24,Barcelona,98.01,,,,,323,274903
T00225,2017-03-24,Sevilla,544.62,,,,,1915,227059
B00360,2017-03-24,Zaragoza,360.18,,,,,816,252139
T00075,2017-03-24,Madrid,110.82,,,,,287,134734
T00024,2017-03-24,A Coruña,714.64,,,,,2076,132700
T00288,2017-03-24,A Coruña,606.13,,,,,1813,180672
B00361,2017-03-25,A Coruña,43.71,,,,,130,284362
T00255,2017-03-25,Madrid,286.49,,,,,1254,188671
B00393,2017-03-25,Sevilla,285.25,,,,,1098,296315
B00350,2017-03-25,Barcelona,177.83,,,,,503,270402
T00218,2017-03-26,Madrid,336.95,,,,,1374,211244
T00297,2017-03-27,Madrid,557.3,,,,,2011,298069
T00279,2017-03-27,Madrid,356.21,,,,,963,132243
T00113,2017-03-28,Valencia,386.33,,,,,1094,181801
T00260,2017-03-28,Barcelona,695.7,,,,,2586,311502
T00273,2017-03-28,Valencia,77.17,,,,,248,108114
B00360,2017-03-29,A Coruña,387.22,,,,,877,251323
T00159,2017-03-29,Zaragoza,138.68,,,,,503,200918
T00174,2017-03-29,Sevilla,104.98,,,,,306,223494
T00088,2017-03-29,Barcelona,102.07,,,,,282,280949
T00026,2017-03-30,Barcelona,215.08,,,,,974,165956
T00256,2017-03-30,Zaragoza,411.62,,,,,1417,187339
T00006,2017-03-30,Sevilla,356.8,,,,,1303,121072
T00171,2017-03-31,A Coruña,321.54,,,,,1069,248815
B00329,2017-03-31,Valencia,199.57,,,,,383,245456
T00149,2017-04-01,A Coruña,339.92,,,,,901,291540
T00279,2017-04-01,Barcelona,138.16,,,,,373,130335
B00351,2017-04-02,Barcelona,53.32,,,,,113,212819
T00214,2017-04-02,Madrid,555.3,,,,,1485,258449
T00065,2017-04-03,Barcelona,366.13,,,,,1130,193922
T00215,2017-04-03,A Coruña,430.79,,,,,1453,166693
T00202,2017-04-03,Sevilla,253.97,,,,,727,271902
T00100,2017-04-03,Barcelona,500.56,,,,,1738,198672
T00112,2017-04-04,Madrid,175.55,,,,,452,231466
T00252,2017-04-04,Barcelona,386.83,,,,,1362,156609
T00041,2017-04-04,Barcelona,539.76,,,,,1927,224007
B00341,2017-04-04,Barcelona,182.89,,,,,337,194149
T00141,2017-04-04,Zaragoza,593.99,,,,,1862,189110
T00076,2017-04-05,A Coruña,224.56,,,,,653,285457
T00237,2017-04-05,A Coruña,65.42,,,,,306,256887
T00010,2017-04-05,Madrid,432.68,,,,,1645,231473
T00170,2017-04-06,Madrid,683.81,,,,,2459,273455
B00321,2017-04-06,Zaragoza,,163.66,,,,97,131037
B00416,2017-04-06,A Coruña,113.21,,,,,273,190388
T00077,2017-04-06,Valencia,290.0,,,,,872,133394
T00280,2017-04-08,Barcelona,564.55,,,,,2407,236091
T00268,2017-04-09,A Coruña,420.03,,,,,1381,197591
T00093,2017-04-09,Sevilla,180.0,,,,,534,148195
T00092,2017-04-09,Valencia,186.45,,,,,779,210796
T00257,2017-04-09,Barcelona,207.04,,,,,702,115872
T00091,2017-04-10,Barcelona,56.04,,,,,181,145333
T00120,2017-04-10,Barcelona,539.61,,,,,1796,230464
T00224,2017-04-11,Barcelona,367.44,,,,,1164,279305
T00184,2017-04-11,A Coruña,329.33,,,,,968,198825
B00314,2017-04-11,A Coruña,,209.33,,,,122,171074
T00294,2017-04-13,Valencia,209.11,,,,,548,200405
B00369,2017-04-13,Barcelona,290.13,,,,,567,139461
B00304,2017-04-13,Valencia,,209.16,,,,126,272364
T00156,2017-04-13,A Coruña,200.73,,,,,551,165752
B00326,2017-04-13,Valencia,296.05,,,,,592,267103
T00039,2017-04-14,Madrid,363.68,,,,,970,124742
T00281,2017-04-14,Barcelona,455.61,,,,,1511,252771
B00363,2017-04-14,Madrid,233.6,,,,,675,149762
B00310,2017-04-14,Madrid,,256.61,,,,141,181092
B00406,2017-04-15,Zaragoza,210.91,,,,,401,121470
B00372,2017-04-15,Valencia,162.92,,,,,391,142550
T00043,2017-04-16,Valencia,263.73,,,,,1151,189071
T00270,2017-04-16,A Coruña,329.22,,,,,1292,124151
T00285,2017-04-16,Zaragoza,412.6,,,,,1595,225816
B00311,2017-04-16,Zaragoza,,134.07,,,,97,237113
B00375,2017-04-16,Barcelona,258.86,,,,,697,219094
T00039,2017-04-16,Barcelona,589.71,,,,,1573,119120
T00066,2017-04-16,Valencia,452.52,,,,,1576,309633
B00319,2017-04-16,A Coruña,,304.77,,,,257,173373
B00326,2017-04-17,A Coruña,168.25,,,,,336,258180
T00172,2017-04-17,Valencia,482.19,,,,,1391,229421
T00046,2017-04-17,Zaragoza,354.66,,,,,1574,200245
T00267,2017-04-17,Madrid,521.81,,,,,2075,232047
T00187,2017-04-18,Madrid,327.07,,,,,1175,123871
T00099,2017-04-18,Madrid,308.72,,,,,897,142286
T00186,2017-04-18,Sevilla,288.91,,,,,785,253609
B00396,2017-04-18,Barcelona,184.13,,,,,463,228542
T00049,2017-04-18,Barcelona,630.94,,,,,1940,305404
T00171,2017-04-18,Sevilla,332.13,,,,,1104,255969
B00328,2017-04-19,Madrid,57.39,,,,,132,188252
T00292,2017-04-19,Madrid,723.06,,,,,2644,175586
T00242,2017-04-19,A Coruña,765.4,,,,,2418,178088
T00240,2017-04-19,A Coruña,92.22,,,,,481,201883
T00013,2017-04-20,Madrid,126.35,,,,,412,206476
B00339,2017-04-20,Barcelona,268.15,,,,,647,133883
T00101,2017-04-20,Barcelona,142.81,,,,,327,164394
B00379,2017-04-20,Valencia,224.5,,,,,550,256650
T00214,2017-04-21,A Coruña,531.79,,,,,1422,270718
T00057,2017-04-21,A Coruña,111.42,,,,,345,166520
T00244,2017-04-21,Zaragoza,414.36,,,,,1219,294094
T00230,2017-04-22,Zaragoza,492.79,,,,,1730,224767
T00126,2017-04-22,A Coruña,260.02,,,,,817,260193
B00379,2017-04-22,Zaragoza,67.99,,,,,166,258137
B00387,2017-04-22,Zaragoza,168.52,,,,,632,231492
T00042,2017-04-22,Madrid,187.62,,,,,631,175688
B00333,2017-04-23,Sevilla,164.1,,,,,343,154078
B00335,2017-04-23,Madrid,90.64,,,,,336,130803
T00237,2017-04-23,Barcelona,80.76,,,,,378,241684
T00183,2017-04-23,Zaragoza,181.25,,,,,637,271150
B00346,2017-04-24,Madrid,363.21,,,,,890,231162
T00035,2017-04-24,Barcelona,158.6,,,,,441,282091
T00028,2017-04-25,Barcelona,401.9,,,,,1569,251293
T00259,2017-04-25,A Coruña,266.13,,,,,776,271226
T00276,2017-04-25,Valencia,364.52,,,,,1215,152097
T00192,2017-04-25,Valencia,323.7,,,,,879,293017
T00205,2017-04-26,Madrid,214.12,,,,,769,205521
T00007,2017-04-27,A Coruña,144.58,,,,,853,239146
T00168,2017-04-27,Zaragoza,501.44,,,,,2098,307909
T00230,2017-04-27,Madrid,682.3,,,,,2395,209234
T00148,2017-04-27,Barcelona,280.0,,,,,950,201840
B00409,2017-04-27,Madrid,230.41,,,,,619,271862
T00236,2017-04-28,A Coruña,148.27,,,,,431,185918
T00238,2017-04-28,A Coruña,171.79,,,,,461,135046
T00241,2017-04-29,Zaragoza,51.87,,,,,148,164751
B00361,2017-04-29,Madrid,205.99,,,,,612,293739
T00159,2017-04-29,Barcelona,423.24,,,,,1535,162567
T00228,2017-04-29,Sevilla,638.66,,,,,1954,212556
T00068,2017-04-30,Sevilla,163.9,,,,,547,195510
T00124,2017-04-30,Madrid,250.71,,,,,974,246316
T00270,2017-04-30,Barcelona,312.16,,,,,1225,134123
T00163,2017-05-01,Valencia,276.27,,,,,868,143274
T00175,2017-05-02,A Coruña,683.92,,,,,2387,224298
T00266,2017-05-02,Valencia,622.12,,,,,2482,188775
B00327,2017-05-02,Madrid,343.9,,,,,952,182124
B00405,2017-05-03,Barcelona,76.45,,,,,144,203379
T00206,2017-05-03,Zaragoza,233.51,,,,,594,208900
